team,seed,rank,ppg,oppg,bpi,off,def
Alabama,1,3,82.2,68.5,15.7,11.4,4.3
Purdue,1,7,73.1,62.7,16.9,10.7,6.1
Houston,1,1,75,56.5,21.3,8.4,12.9
Kansas,1,9,74.9,67.9,11.9,6.1,5.8
Arizona,2,10,82.7,71.5
Marquette,2,13,79.9,70.6
Texas,2,5,77.9,67.4
UCLA,2,4,73.9,60.3
Baylor,3,12,77.2,70.3
Kansas St,3,29,75.5,69
Xavier,3,21,81.4,74.1
Gonzaga,3,8,87.5,72.9
Virginia,4,22,67.8,60.3
Tennessee,4,2,71.8,58
Indiana,4,18,75,68.5
Uconn,4,6,78.5,65
San Diego St,5,24,72.1,63.6
Duke,5,17,72.5,63.9
Miami,5,36,79.4,72.1
Saint Marys,5,19,71.4,60.1
Creighton,6,11,76.6,68.5
Kentucky,6,16,75.1,68
Iowa State,6,25,68.4,62.8
TCU,6,28,75.2,67.9
Missouri,7,59,79.5,74.6
Michigan,7,37,70.2,67.4
Texas A&M,7,15,73.2,66.2
Northwestern,7,41,67.7,62.5
Maryland,8,20,70.4,63.2
Memphis,8,31,79.8,71.9
Iowa,8,32,80.2,74.4
Arkansas,8,14,74.4,67.4
West Virginia,9,23,76.3,71
FAU,9,35,78.8,65
Auburn,9,27,72.7,67.1
Illionois,9,30,74.7,67
Utah State,10,42,78.6,69.7
USC,10,54,72.8,67.3
Penn State,10,49,72.3,68.4
Boise St,10,47,72.2,64.3
NC State,11,46,78.2,70.8
Providence,11,39,78.1,71.3
MSST/PITT,11,0,0,0
ASU/NEV,11,0,0,0
Charleston,12,63,80.8,67.4
Oral Roberts,12,84,84.2,70.1
Drake,12,55,75.3,63.9
VCU,12,61,71.4,62.9
Furman,13,92,82.1,71.2
Louisiana,13,99,78,69.8
Kent State,13,74,76.6,65.7
Iona,13,53,76.4,65
USCB,14,124,72.2,65.6
Montana St,14,108,74.2,66.6
Kennesaw St,14,134,75.3,68.9
Grand Canyon,14,93,75.3,66.8
Princeton,15,117,76,68.6
Vermont,15,96,73,66.6
Colgate,15,98,78.6,69
UNC Asheville,15,136,75,68.6
AMCC/SMO,16,0,0,0
TXSO/FDU,16,0,0,0
N Kentucky,16,148,68.2,63.6
Howard,16,224,75.5,71.9